name,price,discount_rate,link
Boxer Coupe Régulière - 3 Pièces,"119,20  MAD",20% de réduction,https://www.defacto.com/fr-ma/regular-fit-boxer-2790281
Débardeur en coton peigné coupe slim à col rond,"55,30  MAD",30% de réduction,https://www.defacto.com/fr-ma/slim-fit-bisiklet-yaka-askili-atlet-2457835
Grande Taille Short,"149,40  MAD",40% de réduction,https://www.defacto.com/fr-ma/buyuk-beden-cepli-ince-kumas-sort-2564355
Casquette de base pour hommes,"59,70  MAD",70% de réduction,https://www.defacto.com/fr-ma/erkek-basic-kasket-sapka-2559236
Shirt À Manches Courtes Col Raide,"159,20  MAD",20% de réduction,https://www.defacto.com/fr-ma/regular-fit-dik-yaka-kisa-kollu-gomlek-2643955
Pull-Over Col Ras Du Cou,"179,60  MAD",60% de réduction,https://www.defacto.com/fr-ma/regular-fit-bisiklet-yaka-kazak-2631686
Pantalon De Jogging,"239,20  MAD",20% de réduction,https://www.defacto.com/fr-ma/jogger-pantolon-2793270
Veste D'Agriculture Durable Coupe Oversize,"319,20  MAD",20% de réduction,https://www.defacto.com/fr-ma/oversize-fit-kapusonlu-surdurulebilir-ceket-2716603
Boxer Coupe Régulière,"39,20  MAD",20% de réduction,https://www.defacto.com/fr-ma/regular-fit-boxer-2746917
Pull-Over Col Ras Du Cou,"199,50  MAD",50% de réduction,https://www.defacto.com/fr-ma/regular-fit-kazak-2702746
Sweat-Shirt Zippé À Col Montant Et Coupe Confortable,"239,20  MAD",20% de réduction,https://www.defacto.com/fr-ma/comfort-fit-sweatshirt-2800086
Cardigan İntérieur Doux Et Poilu À Col Aviateur Coupe Oversize,"399,20  MAD",20% de réduction,https://www.defacto.com/fr-ma/oversize-fit-kolej-yaka-bomber-ici-yumusak-tuylu-hirka-2782530
T-Shirt Basique De Qualité Supérieure À Col Ras Du Cou Coupe Slim,"79,20  MAD",20% de réduction,https://www.defacto.com/fr-ma/slim-fit-bisiklet-yaka-tisort-2709667
Sweat- Shirt Oversıze Fıt,"199,20  MAD",20% de réduction,https://www.defacto.com/fr-ma/oversize-fit-sweatshirt-2545134
Sweat- Shirt Standart Fıt Col Ras Du Cou Manche Longue,"209,40  MAD",40% de réduction,https://www.defacto.com/fr-ma/defacto-fit-standart-fit-sweatshirt-2687248
Pantalons En Tricot Tissu Sweat Épais Relax Fıt jambe souple,"199,20  MAD",20% de réduction,https://www.defacto.com/fr-ma/relax-fit-esofman-alti-2756489
Jaquette Relax Fıt Bomber,"479,20  MAD",20% de réduction,https://www.defacto.com/fr-ma/relax-fit-kolej-yaka-bomber-surdurulebilir-ceket-2760643
Sweat Col Rond Coupe Moderne,"179,60  MAD",60% de réduction,https://www.defacto.com/fr-ma/uzun-kollu-bisiklet-yaka-modern-fit-sweatshirt-2630914
T-shirt basique à col ras du cou coupe classique,"48,30  MAD",30% de réduction,https://www.defacto.com/fr-ma/regular-fit-tisort-2641109
T-Shirt Coupe Régulière Col Ras Du Cou 2s,"149,50  MAD",50% de réduction,https://www.defacto.com/fr-ma/buyuk-beden-regular-fit-bisiklet-yaka-basic-2li-kisa-kollu-tisort-2538789
T-Shirt Ajustement Confort Col Ras Du Cou,"50,70  MAD",70% de réduction,https://www.defacto.com/fr-ma/comfort-fit-bisiklet-yaka-basic-kisa-kollu-tisort-2657001
Sweat- Shirt Coupe Régulière Col Ras Du Cou Slogan Manche Longue,"119,60  MAD",60% de réduction,https://www.defacto.com/fr-ma/uzun-kollu-bisiklet-yaka-regular-fit-slogan-baskili-ince-kumas-sweatshirt-2702811
T-Shirt Coupe Régulière,"62,30  MAD",30% de réduction,https://www.defacto.com/fr-ma/regular-fit-surdurulebilir-tisort-2702837
Baskets Pu Lacé,"349,50  MAD",50% de réduction,https://www.defacto.com/fr-ma/erkek-yuksek-taban-bagcikli-suni-deri-sneaker-2989195
Boxer Coupe Régulière - 3 Pièces,"119,20  MAD",20% de réduction,https://www.defacto.com/fr-ma/regular-fit-boxer-2790281
Débardeur en coton peigné coupe slim à col rond,"55,30  MAD",30% de réduction,https://www.defacto.com/fr-ma/slim-fit-bisiklet-yaka-askili-atlet-2457835
Grande Taille Short,"149,40  MAD",40% de réduction,https://www.defacto.com/fr-ma/buyuk-beden-cepli-ince-kumas-sort-2564355
Casquette de base pour hommes,"59,70  MAD",70% de réduction,https://www.defacto.com/fr-ma/erkek-basic-kasket-sapka-2559236
